"County","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","Estimates.Base","Census"
"Florida","18537969","18423878","18277888","18088505","17783868","17375259","16981183","16680309","16353869","16047118","15982839","15982378"
"Alachua","243574","242133","240196","237199","231849","228346","225862","223994","221394","218602","217955","217955"
"Baker","26336","26048","25605","25021","24382","23789","23285","23143","22533","22373","22259","22259"
"Bay","164767","163802","163300","163802","161586","157841","154726","152213","149807","148258","148218","148217"
"Bradford","29235","29171","28997","28610","28191","27791","27097","26343","26094","26078","26088","26088"
"Brevard","536357","536314","534407","530319","526088","515890","502985","494239","485810","477735","476230","476230"
"Broward","1766476","1753262","1746968","1762334","1766620","1741272","1719073","1698735","1667903","1631723","1623016","1623018"
"Calhoun","13821","13543","13515","13394","13352","13058","12986","12745","12734","13040","13017","13017"
"Charlotte","156952","157736","157235","154885","153407","156281","152138","149473","146008","142246","141627","141627"
"Citrus","140357","140865","139838","136796","132947","129208","125757","123243","121081","118639","118085","118085"
"Clay","186756","185102","182392","176720","168280","162473","155357","150645","145492","141621","140814","140814"
"Collier","318537","315533","313463","311650","306640","295453","284896","275367","264232","254070","251377","251377"
"Columbia","69264","68901","67927","66975","63916","61457","59898","58333","57340","56726","56510","56513"
"DeSoto","35297","35036","35096","34764","34258","34240","33531","32662","32603","32262","32209","32209"
"Dixie","14824","14846","14871","14859","14600","14199","13895","13940","13921","13817","13827","13827"
"Duval","857040","853116","848841","842100","830828","821644","812238","802673","791064","779803","778866","778879"
"Escambia","303343","302776","302580","305287","302476","301768","301040","299746","298831","294784","294410","294410"
"Flagler","91622","90700","88088","82285","75420","68241","62154","57432","53715","50560","49832","49832"
"Franklin","11280","11247","11272","11134","10055","9981","9950","9934","9882","9841","9829","11057"
"Gadsden","47474","47450","46728","46109","45863","45506","45223","45182","45467","45067","45087","45087"
"Gilchrist","17116","17046","16918","16558","16217","15714","15448","14874","14556","14540","14443","14437"
"Glades","10950","11072","10967","11093","11270","11123","10946","10912","10761","10585","10576","10576"
"Gulf","15755","15683","15763","15713","15658","15364","15210","14880","14889","14587","14559","13332"
"Hamilton","14592","14412","14251","14124","13762","13894","13850","13698","13702","13325","13327","13327"
"Hardee","29415","29135","28832","28192","27846","27657","27416","27284","26679","26911","26938","26938"
"Hendry","39594","39602","39399","39106","38521","37221","36424","36248","36173","36326","36210","36210"
"Hernando","171233","171447","168982","163551","156478","149114","142368","137681","134090","131425","130803","130802"
"Highlands","98704","99034","98512","97265","95174","92752","90700","89822","88459","87407","87366","87366"
"Hillsborough","1195317","1180118","1169910","1158212","1132025","1099688","1071415","1050928","1026319","1003269","998943","998948"
"Holmes","19099","19170","19119","19055","18882","18819","18876","18614","18634","18535","18564","18564"
"Indian River","135167","134293","132837","129980","126778","124105","119836","117807","115324","113387","112943","112947"
"Jackson","50930","50915","48955","48832","48460","47424","46688","46441","46431","46754","46754","46755"
"Jefferson","14010","13982","13854","13988","13831","13723","13405","13200","12835","12906","12902","12902"
"Lafayette","7949","8054","8023","8013","7868","7438","7228","7202","7119","7038","7022","7022"
"Lake","312119","307964","302170","291330","275559","260829","246008","234662","224077","212808","210509","210528"
"Lee","586908","588709","585264","565956","541542","512180","490139","474109","458557","443916","440889","440888"
"Leon","265714","264597","262720","258104","253978","250863","248102","243733","241627","240410","239454","239452"
"Levy","39147","39199","38830","38240","37357","36729","35946","35586","34927","34617","34450","34450"
"Liberty","7983","7966","7798","7729","7577","7292","7210","7141","7005","6996","7021","7021"
"Madison","18901","18961","18977","18981","18801","18859","18619","18621","18828","18746","18733","18733"
"Manatee","318361","316059","314027","311553","305054","294894","286175","279448","272034","265662","264006","264002"
"Marion","328547","327172","323032","313964","301714","289817","279156","271261","264393","260285","258914","258916"
"Martin","139794","139080","138865","137740","138474","137009","134556","131604","129149","127160","126731","126731"
"Miami-Dade","2500625","2478745","2453567","2438702","2413583","2381215","2352658","2328122","2294643","2258765","2253786","2253362"
"Monroe","73165","73298","73420","74104","76135","77901","78880","78963","79105","79483","79589","79589"
"Nassau","70576","69815","68441","66529","64526","62909","61513","60458","59123","57949","57663","57663"
"Okaloosa","178473","179529","180911","182462","183398","182220","178644","175924","171966","170966","170497","170498"
"Okeechobee","40241","40222","40023","39813","39380","38672","37303","36822","36315","35917","35910","35910"
"Orange","1086480","1075737","1066117","1053941","1029447","993478","965744","946806","927735","902756","896354","896344"
"Osceola","270618","266609","258283","246259","231926","220191","206016","194071","183420","174182","172493","172493"
"Palm Beach","1279950","1269745","1264648","1265707","1262956","1240191","1208940","1185745","1157710","1135318","1131190","1131184"
"Pasco","471709","468384","459566","444325","425683","404697","385513","371409","358627","347318","344771","344765"
"Pinellas","909013","910058","912764","918551","924628","924605","923484","923557","923153","922261","921497","921482"
"Polk","583403","580282","573483","557477","538638","521029","508118","498428","491393","485378","483924","483924"
"Putnam","72893","73455","73740","73411","72750","72019","71248","71004","70401","70419","70423","70423"
"St. Johns","187436","182447","175818","168762","160508","151916","142313","135882","129832","124478","123148","123135"
"St. Lucie","266502","265646","260461","249741","237569","225240","212555","204349","197728","193433","192695","192695"
"Santa Rosa","151759","150356","147753","144279","142364","138284","132549","128077","121531","118387","117743","117743"
"Sarasota","369765","369867","368841","365613","363146","354095","345161","338940","332874","327041","325966","325957"
"Seminole","413204","410658","408308","408464","402834","392099","385706","381313","373723","367089","365202","365196"
"Sumter","77681","75219","72711","68577","63405","60069","58797","57482","54709","53554","53348","53345"
"Suwannee","40149","39830","39473","38773","38055","37103","36440","35942","35539","35024","34847","34844"
"Taylor","21400","21390","20947","20016","19861","19573","19619","19222","19262","19215","19254","19256"
"Union","14584","14935","14727","14274","14350","14086","13462","13472","13511","13462","13442","13442"
"Volusia","495890","497344","498769","494302","485940","476695","465989","458400","451291","445060","443343","443343"
"Wakulla","32815","31142","30246","29158","27799","26691","25699","24929","24046","22989","22866","22863"
"Walton","55105","53920","52664","51372","49581","47684","45721","44046","42502","40819","40602","40601"
"Washington","23916","23994","22883","22371","21822","21651","21299","21148","21251","21015","20973","20973"
